orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,Population de l'Aire de Santé
République Démocratique du Congo,kc Kongo Central Province,kc Mbanza Ngungu Zone de Santé,kc Ville Haute Aire de Santé,cR6VbujM4Od,kc Ville Haute Aire de Santé,20410512,,2020,2020,2020,,9053
République Démocratique du Congo,kc Kongo Central Province,kc Inga Zone de Santé,kc Vunda Aire de Santé,HorieKn7ndG,kc Vunda Aire de Santé,20320110,,2020,2020,2020,,16748
République Démocratique du Congo,kc Kongo Central Province,kc Kimpese Zone de Santé,kc Vunda Nsole Aire de Santé,buOrLEWs5xt,kc Vunda Nsole Aire de Santé,20420119,,2020,2020,2020,,3111
République Démocratique du Congo,kc Kongo Central Province,kc Lukula Zone de Santé,kc Vungu Sabu Aire de Santé,I9NOjalIdXU,kc Vungu Sabu Aire de Santé,20330216,,2020,2020,2020,,9114
République Démocratique du Congo,kc Kongo Central Province,kc Muanda Zone de Santé,kc Weka Aire de Santé,jdaVZdi5QdK,kc Weka Aire de Santé,20240309,,2020,2020,2020,,3064
République Démocratique du Congo,kc Kongo Central Province,kc Gombe Matadi Zone de Santé,kc Yanda Aire de Santé,F9Nbg2GafxY,kc Yanda Aire de Santé,20410216,,2020,2020,2020,,7534
République Démocratique du Congo,kc Kongo Central Province,kc Luozi Zone de Santé,kc Yanga Aire de Santé,wvNvxnbA4TB,kc Yanga Aire de Santé,20430210,,2020,2020,2020,,3478
République Démocratique du Congo,kc Kongo Central Province,kc Kimpese Zone de Santé,kc Yanga dia Songa Aire de Santé,soBEI8DJCkA,kc Yanga dia Songa Aire de Santé,20420120,,2020,2020,2020,,21115
République Démocratique du Congo,kc Kongo Central Province,kc Luozi Zone de Santé,kc Yanga Pompe Aire de Santé,PHqNm4R0RbP,kc Yanga Pompe Aire de Santé,20430211,,2020,2020,2020,,10247
République Démocratique du Congo,kc Kongo Central Province,kc Kibunzi Zone de Santé,kc Yangala Aire de Santé,Glec2p5Nq7K,kc Yangala Aire de Santé,20430109,,2020,2020,2020,,6104
République Démocratique du Congo,kc Kongo Central Province,kc Tshela Zone de Santé,kc Yema Aire de Santé,EyjR4AFhf6Q,kc Yema Aire de Santé,20240310,,2020,2020,2020,,5267
République Démocratique du Congo,kc Kongo Central Province,kc Muanda Zone de Santé,kc Yema Aire de Santé,tYuD239hmCt,kc Yema Aire de Santé,,,2020,2020,2020,,3557
République Démocratique du Congo,kc Kongo Central Province,kc Kuimba Zone de Santé,kc Yema Ntene Aire de Santé,rzNqaF1IY0l,kc Yema Ntene Aire de Santé,20310311,,2020,2020,2020,,12360
République Démocratique du Congo,kc Kongo Central Province,kc Kangu Zone de Santé,kc Yenzi Aire de Santé,mfBXPOHbh9M,kc Yenzi Aire de Santé,20330112,,2020,2020,2020,,12664
République Démocratique du Congo,kc Kongo Central Province,kc Kisantu Zone de Santé,kc Yimbi Aire de Santé,Hn0itBJikcw,kc Yimbi Aire de Santé,20510117,,2020,2020,2020,,4750
République Démocratique du Congo,kc Kongo Central Province,kc Massa Zone de Santé,kc Yongo Aire de Santé,D6H68YT4LTv,kc Yongo Aire de Santé,20520114,,2020,2020,2020,,2000
République Démocratique du Congo,kc Kongo Central Province,kc Kibunzi Zone de Santé,kc Zela Aire de Santé,RUYb0cFBSi5,kc Zela Aire de Santé,20430110,,2020,2020,2020,,8384
République Démocratique du Congo,kc Kongo Central Province,kc Ngidinga Zone de Santé,kc Zomfi Aire de Santé,AwkEM46JO9P,kc Zomfi Aire de Santé,20510215,,2020,2020,2020,,7069
République Démocratique du Congo,ke Kasai Oriental Province,ke Lukelenge Zone de Santé,ke 20 Metre Aire de Santé,yyrRmdfX1BR,ke 20 Metre Aire de Santé,81150301,,2020,2020,2020,,16287
République Démocratique du Congo,ke Kasai Oriental Province,ke Bipemba Zone de Santé,ke Adventiste Aire de Santé,fzcxhB9JYPV,ke Adventiste Aire de Santé,81120101,,2020,2020,2020,,23169
République Démocratique du Congo,ke Kasai Oriental Province,ke Nzaba Zone de Santé,ke Aeroport Aire de Santé,nhIDo5PSIfq,ke Aeroport Aire de Santé,81120301,,2020,2020,2020,,18629
République Démocratique du Congo,ke Kasai Oriental Province,ke Mpokolo Zone de Santé,ke Anuarite Aire de Santé,pHqHpLpJx4Y,ke Anuarite Aire de Santé,81120201,,2020,2020,2020,,22529
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshilenge Zone de Santé,ke Ba Kabongo Aire de Santé,bEWfRfjYuSo,ke Ba Kabongo Aire de Santé,81250101,,2020,2020,2020,,18303
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshilenge Zone de Santé,ke Ba Kalombo Aire de Santé,X8N6hUVSl7R,ke Ba Kalombo Aire de Santé,81250102,,2020,2020,2020,,15582
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshilenge Zone de Santé,ke Ba Mulumba Aire de Santé,fbPUz93uneA,ke Ba Mulumba Aire de Santé,81250103,,2020,2020,2020,,13775
République Démocratique du Congo,ke Kasai Oriental Province,ke Lukelenge Zone de Santé,ke Badiadia Aire de Santé,o3DipQUFcgx,ke Badiadia Aire de Santé,81150302,,2020,2020,2020,,15920
République Démocratique du Congo,ke Kasai Oriental Province,ke Kabeya Kamwanga Zone de Santé,ke Badibanga Aire de Santé,rIeVEZaWRwu,ke Badibanga Aire de Santé,81220101,,2020,2020,2020,,22134
République Démocratique du Congo,ke Kasai Oriental Province,ke Mukumbi Zone de Santé,ke Bakua Bisampo Aire de Santé,R5RWyq1xd3L,ke Bakua Bisampo Aire de Santé,81230101,,2020,2020,2020,,9818
République Démocratique du Congo,ke Kasai Oriental Province,ke Miabi Zone de Santé,ke Bakua cijiba Aire de Santé,JJD8Kg6YwVz,ke Bakua cijiba Aire de Santé,,,2020,2020,2020,,8344
République Démocratique du Congo,ke Kasai Oriental Province,ke Lukelenge Zone de Santé,ke Bakua Cijiba Aire de Santé,Daq1t7vmBya,ke Bakua Cijiba Aire de Santé,81150303,,2020,2020,2020,,
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshishimbi Zone de Santé,ke Bakua Hoyi Aire de Santé,h5vsVfNNwcw,ke Bakua Hoyi Aire de Santé,81230201,,2020,2020,2020,,8176
République Démocratique du Congo,ke Kasai Oriental Province,ke Mukumbi Zone de Santé,ke Bakua Mbuyi Aire de santé,KExdRCETcQc,ke Bakua Mbuyi Aire de santé,81230102,,2020,2020,2020,,17975
République Démocratique du Congo,ke Kasai Oriental Province,ke Mukumbi Zone de Santé,ke Bakua Mulumba Aire de Santé,sBjV5Uo14T4,ke Bakua Mulumba Aire de Santé,81230103,,2020,2020,2020,,10849
République Démocratique du Congo,ke Kasai Oriental Province,ke Cilundu Zone de Santé,ke Bakwa Kamba Aire de Santé,h1xGPcuFat2,ke Bakwa Kamba Aire de Santé,81210201,,2020,2020,2020,,12414
République Démocratique du Congo,ke Kasai Oriental Province,ke Cilundu Zone de Santé,ke Bakwa Mbuyi Aire de Santé,oxqdL7D1qHw,ke Bakwa Mbuyi Aire de Santé,81210202,,2020,2020,2020,,14590
République Démocratique du Congo,ke Kasai Oriental Province,ke Cilundu Zone de Santé,ke Bakwa Mpemba Aire de Santé,bQMyagEooXZ,ke Bakwa Mpemba Aire de Santé,81210203,,2020,2020,2020,,11920
République Démocratique du Congo,ke Kasai Oriental Province,ke Cilundu Zone de Santé,ke Bakwa Mulumba Aire de Santé,yavy60l7iuI,ke Bakwa Mulumba Aire de Santé,81210204,,2020,2020,2020,,9346
République Démocratique du Congo,ke Kasai Oriental Province,ke Cilundu Zone de Santé,ke Bakwa Sambua Aire de Santé,peN0Ry99qAO,ke Bakwa Sambua Aire de Santé,81210205,,2020,2020,2020,,9445
République Démocratique du Congo,ke Kasai Oriental Province,ke Cilundu Zone de Santé,ke Bakwa Sumba Aire de Santé,v2TpK8CfClQ,ke Bakwa Sumba Aire de Santé,81210206,,2020,2020,2020,,22609
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshishimbi Zone de Santé,ke Bakwa Tshimuna Aire de Santé,DqOsbQQNKCN,ke Bakwa Tshimuna Aire de Santé,81230202,,2020,2020,2020,,16532
République Démocratique du Congo,ke Kasai Oriental Province,ke Diulu Zone de Santé,ke Banque Aire de Santé,bY1pbbNVzqi,ke Banque Aire de Santé,81130101,,2020,2020,2020,,18565
République Démocratique du Congo,ke Kasai Oriental Province,ke Cilundu Zone de Santé,ke Bashingala Aire de Santé,YssFdvY3kIv,ke Bashingala Aire de Santé,81210207,,2020,2020,2020,,38025
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshilenge Zone de Santé,ke Bena Bilonda Aire de Santé,ZZK6DvsfZz1,ke Bena Bilonda Aire de Santé,81250104,,2020,2020,2020,,16456
République Démocratique du Congo,ke Kasai Oriental Province,ke Miabi Zone de Santé,ke Bena Cimungu Aire de Santé,kMOlfwL3y6X,ke Bena Cimungu Aire de Santé,81210102,,2020,2020,2020,,8824
République Démocratique du Congo,ke Kasai Oriental Province,ke Miabi Zone de Santé,ke Bena Lubashi Aire de Santé,RdLJLGbPKSy,ke Bena Lubashi Aire de Santé,81210103,,2020,2020,2020,,5362
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshishimbi Zone de Santé,ke Bena Mbala Aire de Santé,TrNF52A7s9Q,ke Bena Mbala Aire de Santé,81230203,,2020,2020,2020,,13828
République Démocratique du Congo,ke Kasai Oriental Province,ke Kasansa Zone de Santé,ke Bena Mpunga Aire de Santé,iP4GKQhyTFC,ke Bena Mpunga Aire de Santé,81250201,,2020,2020,2020,,11962
République Démocratique du Congo,ke Kasai Oriental Province,ke Miabi Zone de Santé,ke Bena Mukendi Aire de Santé,jXIfQS75GyK,ke Bena Mukendi Aire de Santé,81210104,,2020,2020,2020,,10817
République Démocratique du Congo,ke Kasai Oriental Province,ke Diulu Zone de Santé,ke Bena Nkuna Aire de Santé,V8IwnaiDRMv,ke Bena Nkuna Aire de Santé,81130102,,2020,2020,2020,,18502
République Démocratique du Congo,ke Kasai Oriental Province,ke Bibanga Zone de Santé,ke Bibanga Aire de Santé,YbttFa8aftt,ke Bibanga Aire de Santé,81240101,,2020,2020,2020,,12409
République Démocratique du Congo,ke Kasai Oriental Province,ke Kansele Zone de Santé,ke Bilengi Aire de Santé,gAjPHOyT38O,ke Bilengi Aire de Santé,81140201,,2020,2020,2020,,14376
République Démocratique du Congo,ke Kasai Oriental Province,ke Bonzola Zone de Santé,ke Bimpe Aire de Santé,f2dU4p52DOZ,ke Bimpe Aire de Santé,81110101,,2020,2020,2020,,16388
République Démocratique du Congo,ke Kasai Oriental Province,ke Muya Zone de Santé,ke Binina 1 Aire de Santé,PqGpJcccZrM,ke Binina 1 Aire de Santé,81140101,,2020,2020,2020,,19669
République Démocratique du Congo,ke Kasai Oriental Province,ke Muya Zone de Santé,ke Binina 2 Aire de Santé,mdTSLYExkPX,ke Binina 2 Aire de Santé,81140102,,2020,2020,2020,,19807
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshishimbi Zone de Santé,ke Bon Berger Aire de Santé,O6sEoxHR8Kw,ke Bon Berger Aire de Santé,81230204,,2020,2020,2020,,9854
République Démocratique du Congo,ke Kasai Oriental Province,ke Lukelenge Zone de Santé,ke Bonte Aire de Santé,D0dTEdAzKZc,ke Bonte Aire de Santé,81150304,,2020,2020,2020,,17313
République Démocratique du Congo,ke Kasai Oriental Province,ke Kansele Zone de Santé,ke Boulaska Aire de Santé,y57YFqKIiXo,ke Boulaska Aire de Santé,81140202,,2020,2020,2020,,16273
République Démocratique du Congo,ke Kasai Oriental Province,ke Miabi Zone de Santé,ke Boya 1 Aire de Santé,KvWYfTpH8zr,ke Boya 1 Aire de Santé,81210105,,2020,2020,2020,,15969
République Démocratique du Congo,ke Kasai Oriental Province,ke Miabi Zone de Santé,ke Boya 2 Aire de Santé,FvFB4RFsOHx,ke Boya 2 Aire de Santé,81210106,,2020,2020,2020,,20946
République Démocratique du Congo,ke Kasai Oriental Province,ke Miabi Zone de Santé,ke Boya 3 Aire de Santé,ztQUzlqZfU0,ke Boya 3 Aire de Santé,81210107,,2020,2020,2020,,27054
République Démocratique du Congo,ke Kasai Oriental Province,ke Diulu Zone de Santé,ke Brigade Aire de Santé,XpkYydaKo9g,ke Brigade Aire de Santé,81130103,,2020,2020,2020,,26567
République Démocratique du Congo,ke Kasai Oriental Province,ke Bibanga Zone de Santé,ke Bufua Aire de Santé,NWdZGCCqlFg,ke Bufua Aire de Santé,81240102,,2020,2020,2020,,7940
République Démocratique du Congo,ke Kasai Oriental Province,ke Cilundu Zone de Santé,ke Buloba Aire de Santé,NqQtvTiQTUS,ke Buloba Aire de Santé,81210208,,2020,2020,2020,,
République Démocratique du Congo,ke Kasai Oriental Province,ke Citenge Zone de Santé,ke Buloba Aire de Santé,Abq7plfsXlT,ke Buloba Aire de Santé,,,2020,2020,2020,,6540
République Démocratique du Congo,ke Kasai Oriental Province,ke Kansele Zone de Santé,ke Bunkonde Aire de Santé,A3fh3Y30zvC,ke Bunkonde Aire de Santé,81140203,,2020,2020,2020,,18038
République Démocratique du Congo,ke Kasai Oriental Province,ke Dibindi Zone de Santé,ke Bupole Aire de Santé,GGMcvC4qpvG,ke Bupole Aire de Santé,81150101,,2020,2020,2020,,23678
République Démocratique du Congo,ke Kasai Oriental Province,ke Diulu Zone de Santé,ke Bupuekele Aire de Santé,Xa9TtzIEaJ9,ke Bupuekele Aire de Santé,81130104,,2020,2020,2020,,17925
République Démocratique du Congo,ke Kasai Oriental Province,ke Lubilanji Zone de Santé,ke Bupwekele Aire de Santé,b09eajoGkEp,ke Bupwekele Aire de Santé,81150201,,2020,2020,2020,,23035
République Démocratique du Congo,ke Kasai Oriental Province,ke Diulu Zone de Santé,ke Butoka Aire de Santé,dQep2KxBWAj,ke Butoka Aire de Santé,81130105,,2020,2020,2020,,17308
République Démocratique du Congo,ke Kasai Oriental Province,ke Kansele Zone de Santé,ke CADMEKO CDR,TQQyfrhcybg,ke CADMEKO CDR,81140202-8100249,,2020,2020,2020,,
République Démocratique du Congo,ke Kasai Oriental Province,ke Dibindi Zone de Santé,ke Camed Aire de Santé,FoFASjZ5Vi3,ke Camed Aire de Santé,81150102,,2020,2020,2020,,38960
République Démocratique du Congo,ke Kasai Oriental Province,ke Bonzola Zone de Santé,ke Camp Nsele Aire de Santé,B8osZZRrmEE,ke Camp Nsele Aire de Santé,81110102,,2020,2020,2020,,10117
République Démocratique du Congo,ke Kasai Oriental Province,ke Bonzola Zone de Santé,ke Camp Nyongololo PNC Aire de Santé,nO8pC7JVSsK,ke Camp Nyongololo PNC Aire de Santé,81110103,,2020,2020,2020,,8161
République Démocratique du Congo,ke Kasai Oriental Province,ke Lubilanji Zone de Santé,ke CASOP Aire de Santé,Lm1GaxDItyA,ke CASOP Aire de Santé,81150202,,2020,2020,2020,,17221
République Démocratique du Congo,ke Kasai Oriental Province,ke Miabi Zone de Santé,ke Central 2 Aire de Santé,tIo0fSuAwPh,ke Central 2 Aire de Santé,81210108,,2020,2020,2020,,9262
République Démocratique du Congo,ke Kasai Oriental Province,ke Muya Zone de Santé,ke Centrale Aire de Santé,MI6GyPEjL4v,ke Centrale Aire de Santé,81140103,,2020,2020,2020,,19532
République Démocratique du Congo,ke Kasai Oriental Province,ke Bonzola Zone de Santé,ke Centre d'Emission Aire de Santé,Nq4YfgWuKw2,ke Centre d'Emission Aire de Santé,81110104,,2020,2020,2020,,6879
République Démocratique du Congo,ke Kasai Oriental Province,ke Dibindi Zone de Santé,ke Chpm Aire de Santé,zrYLVhNV8VY,ke Chpm Aire de Santé,81150103,,2020,2020,2020,,42227
République Démocratique du Congo,ke Kasai Oriental Province,ke Bonzola Zone de Santé,ke Ciaciacia Aire de Santé,epyMYnH86WS,ke Ciaciacia Aire de Santé,81110105,,2020,2020,2020,,12477
République Démocratique du Congo,ke Kasai Oriental Province,ke Kabeya Kamwanga Zone de Santé,ke Ciaciacia Aire de Santé,PpyOBReZ5Gm,ke Ciaciacia Aire de Santé,,,2020,2020,2020,,17215
République Démocratique du Congo,ke Kasai Oriental Province,ke Citenge Zone de Santé,ke Ciala Aire de Santé,ks8ZYHhoamp,ke Ciala Aire de Santé,81240202,,2020,2020,2020,,12764
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshilenge Zone de Santé,ke Ciasasa Aire de Santé,vf8PcXpdHXs,ke Ciasasa Aire de Santé,81250105,,2020,2020,2020,,16312
République Démocratique du Congo,ke Kasai Oriental Province,ke Kansele Zone de Santé,ke Cibangu Biaya Aire de Santé,Z0NdE2VNl7H,ke Cibangu Biaya Aire de Santé,81140204,,2020,2020,2020,,23332
République Démocratique du Congo,ke Kasai Oriental Province,ke Muya Zone de Santé,ke Cibengabu 1 Aire de Santé,jeQ8HSdea0j,ke Cibengabu 1 Aire de Santé,81140104,,2020,2020,2020,,20530
République Démocratique du Congo,ke Kasai Oriental Province,ke Muya Zone de Santé,ke Cibengabu 2 Aire de Santé,FOoKeCZ51dR,ke Cibengabu 2 Aire de Santé,81140105,,2020,2020,2020,,19146
République Démocratique du Congo,ke Kasai Oriental Province,ke Bibanga Zone de Santé,ke Cibila Aire de Santé,jb2qphfZBSx,ke Cibila Aire de Santé,81240103,,2020,2020,2020,,27660
République Démocratique du Congo,ke Kasai Oriental Province,ke Mpokolo Zone de Santé,ke Cibombo Aire de Santé,C8KzOuxbm1w,ke Cibombo Aire de Santé,81120202,,2020,2020,2020,,22222
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshilenge Zone de Santé,ke Cibumba Aire de Santé,E92Oz6AskAb,ke Cibumba Aire de Santé,81250106,,2020,2020,2020,,10709
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshilenge Zone de Santé,ke Cienda Aire de Santé,bwjaLch1Iyb,ke Cienda Aire de Santé,81250107,,2020,2020,2020,,18138
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshilenge Zone de Santé,ke Cifumba Aire de Santé,lbXhQfq8UWB,ke Cifumba Aire de Santé,81250108,,2020,2020,2020,,14922
République Démocratique du Congo,ke Kasai Oriental Province,ke Cilundu Zone de Santé,ke Cijiba Aire de Santé,gMU6VaDTNtg,ke Cijiba Aire de Santé,81210209,,2020,2020,2020,,27402
République Démocratique du Congo,ke Kasai Oriental Province,ke Citenge Zone de Santé,ke Cikaya Aire de Santé,thnaODCTzRI,ke Cikaya Aire de Santé,81240203,,2020,2020,2020,,14259
République Démocratique du Congo,ke Kasai Oriental Province,ke Bonzola Zone de Santé,ke Cikisha Aire de Santé,VDghn5eBy2y,ke Cikisha Aire de Santé,81110106,,2020,2020,2020,,11509
République Démocratique du Congo,ke Kasai Oriental Province,ke Bibanga Zone de Santé,ke Cikuyi Aire de santé,MTvRzKsOvCu,ke Cikuyi Aire de santé,81240104,,2020,2020,2020,,6744
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshilenge Zone de Santé,ke Cilenge Aire de Santé,gEGKU4PfgBL,ke Cilenge Aire de Santé,81250109,,2020,2020,2020,,24429
République Démocratique du Congo,ke Kasai Oriental Province,ke Cilundu Zone de Santé,ke Ciloba Aire de Santé,WEsQdMg3VeX,ke Ciloba Aire de Santé,81210210,,2020,2020,2020,,7246
République Démocratique du Congo,ke Kasai Oriental Province,ke Bibanga Zone de Santé,ke Ciluila Aire de Santé,HYohacWFsaN,ke Ciluila Aire de Santé,81240105,,2020,2020,2020,,9861
République Démocratique du Congo,ke Kasai Oriental Province,ke Cilundu Zone de Santé,ke Cilundu Aire de Santé,RaQSxogOwWw,ke Cilundu Aire de Santé,81210211,,2020,2020,2020,,17910
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshilenge Zone de Santé,ke Cimpuma Aire de Santé,K53ILFeRqXS,ke Cimpuma Aire de Santé,81250110,,2020,2020,2020,,9243
République Démocratique du Congo,ke Kasai Oriental Province,ke Citenge Zone de Santé,ke Cimvuluila Aire de Santé,FwMpVmhHmMt,ke Cimvuluila Aire de Santé,81240204,,2020,2020,2020,,16522
République Démocratique du Congo,ke Kasai Oriental Province,ke Kabeya Kamwanga Zone de Santé,ke Cincianku Aire de Santé,YE03x7Z4IwT,ke Cincianku Aire de Santé,81220103,,2020,2020,2020,,15453
République Démocratique du Congo,ke Kasai Oriental Province,ke Bipemba Zone de Santé,ke Ciombela Aire de Santé,fmkMO8r20ei,ke Ciombela Aire de Santé,81120102,,2020,2020,2020,,26400
République Démocratique du Congo,ke Kasai Oriental Province,ke Kabeya Kamwanga Zone de Santé,ke Ciondo Aire de Santé,yn4HXD10dtl,ke Ciondo Aire de Santé,81220104,,2020,2020,2020,,7130
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshilenge Zone de Santé,ke Cisenda Aire de Santé,ZqIFt5NJJGF,ke Cisenda Aire de Santé,81250111,,2020,2020,2020,,11420
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshishimbi Zone de Santé,ke CMM Aire de Santé,nb8LaIUTrB9,ke CMM Aire de Santé,81230205,,2020,2020,2020,,8120
République Démocratique du Congo,ke Kasai Oriental Province,ke Kansele Zone de Santé,ke Commune Aire de Santé,aFK7MhS9ELL,ke Commune Aire de Santé,,,2020,2020,2020,,19949
République Démocratique du Congo,ke Kasai Oriental Province,ke Bipemba Zone de Santé,ke Commune Aire de Santé,pjsXTtuNErV,ke Commune Aire de Santé,,,2020,2020,2020,,
République Démocratique du Congo,ke Kasai Oriental Province,ke Bipemba Zone de Santé,ke Commune Aire de Santé,JrWWrCppw9M,ke Commune Aire de Santé,81120103,,2020,2020,2020,,20490
République Démocratique du Congo,ke Kasai Oriental Province,ke Dibindi Zone de Santé,ke CPC Kasavubu Aire de Santé,nMFSYr3BGzg,ke CPC Kasavubu Aire de Santé,81150104,,2020,2020,2020,,31970
République Démocratique du Congo,ke Kasai Oriental Province,ke Lukelenge Zone de Santé,ke Daipn Aire de Santé,a7BK2Ki59E1,ke Daipn Aire de Santé,81150305,,2020,2020,2020,,16298
République Démocratique du Congo,ke Kasai Oriental Province,ke Kabeya Kamwanga Zone de Santé,ke Dibula Aire de Santé,okG48eYBgNl,ke Dibula Aire de Santé,81220105,,2020,2020,2020,,9036
République Démocratique du Congo,ke Kasai Oriental Province,ke Miabi Zone de Santé,ke Dibungi Aire de Santé,FGSvNCyrmb3,ke Dibungi Aire de Santé,81210109,,2020,2020,2020,,16004
République Démocratique du Congo,ke Kasai Oriental Province,ke Lubilanji Zone de Santé,ke Dikongayi Aire de Santé,msWJq1XgVMp,ke Dikongayi Aire de Santé,81150203,,2020,2020,2020,,22050
République Démocratique du Congo,ke Kasai Oriental Province,ke Kabeya Kamwanga Zone de Santé,ke Dikundi Aire de Santé,g4LQfU3XMxt,ke Dikundi Aire de Santé,81220106,,2020,2020,2020,,8944
République Démocratique du Congo,ke Kasai Oriental Province,ke Muya Zone de Santé,ke Dileji Aire de Santé,mXWiAPGsY3c,ke Dileji Aire de Santé,81140106,,2020,2020,2020,,17944
République Démocratique du Congo,ke Kasai Oriental Province,ke Citenge Zone de Santé,ke Dilunga Aire de Santé,ERsPZMtgliV,ke Dilunga Aire de Santé,81240205,,2020,2020,2020,,14444
République Démocratique du Congo,ke Kasai Oriental Province,ke Lubilanji Zone de Santé,ke Dinanga Aire de santé,hNtwTOkn0PC,ke Dinanga Aire de santé,,,2020,2020,2020,,23578
République Démocratique du Congo,ke Kasai Oriental Province,ke Diulu Zone de Santé,ke Dinanga Aire de Santé,NEQ9k5cNtbE,ke Dinanga Aire de Santé,81130106,,2020,2020,2020,,26130
République Démocratique du Congo,ke Kasai Oriental Province,ke Nzaba Zone de Santé,ke Dinanga Aire de Santé,qPtTMGV6vxA,ke Dinanga Aire de Santé,,,2020,2020,2020,,17876
République Démocratique du Congo,ke Kasai Oriental Province,ke Lukelenge Zone de Santé,ke Dinanga Aire de Santé,raOQTKkC8eb,ke Dinanga Aire de Santé,,,2020,2020,2020,,16247
République Démocratique du Congo,ke Kasai Oriental Province,ke Kasansa Zone de Santé,ke Dinsanga Aire de Santé,UPwEbdUnW8Y,ke Dinsanga Aire de Santé,81250202,,2020,2020,2020,,10941
République Démocratique du Congo,ke Kasai Oriental Province,ke Mpokolo Zone de Santé,ke Disanka Aire de Santé,ARKjRN5LIxN,ke Disanka Aire de Santé,81120203,,2020,2020,2020,,22556
République Démocratique du Congo,ke Kasai Oriental Province,ke Lubilanji Zone de Santé,ke Ditalala Aire de santé,qYolWmKQeRc,ke Ditalala Aire de santé,81150205,,2020,2020,2020,,16013
République Démocratique du Congo,ke Kasai Oriental Province,ke Mpokolo Zone de Santé,ke Ditalala Aire de santé,rYLlQc0w2uO,ke Ditalala Aire de santé,,,2020,2020,2020,,22212
République Démocratique du Congo,ke Kasai Oriental Province,ke Tshishimbi Zone de Santé,ke Ditalala Aire de Santé,ISaKLnAajRR,ke Ditalala Aire de Santé,,,2020,2020,2020,,10594
République Démocratique du Congo,ke Kasai Oriental Province,ke Mpokolo Zone de Santé,ke Don Bosco Aire de Santé,PuYWgkV4v6M,ke Don Bosco Aire de Santé,81120205,,2020,2020,2020,,20263
République Démocratique du Congo,ke Kasai Oriental Province,ke Dibindi Zone de Santé,ke Don de Dieu Aire de Santé,WEUCTbHhQNJ,ke Don de Dieu Aire de Santé,81150105,,2020,2020,2020,,18381
République Démocratique du Congo,ke Kasai Oriental Province,ke Lubilanji Zone de Santé,ke Dr Mbaya Aire de Santé,G3IBmjO9K4R,ke Dr Mbaya Aire de Santé,81150206,,2020,2020,2020,,22085
République Démocratique du Congo,ke Kasai Oriental Province,ke Lubilanji Zone de Santé,ke Dr Tshiswaka Aire de Santé,M6jzOFov8YI,ke Dr Tshiswaka Aire de Santé,81150207,,2020,2020,2020,,16671
République Démocratique du Congo,ke Kasai Oriental Province,ke Lubilanji Zone de Santé,ke Du 30 Juin Aire de santé,iGQ7XB4VaIE,ke Du 30 Juin Aire de santé,81150208,,2020,2020,2020,,19001
République Démocratique du Congo,ke Kasai Oriental Province,ke Mpokolo Zone de Santé,ke Du 30 Juin Aire de Santé,RbBdQiNX25z,ke Du 30 Juin Aire de Santé,,,2020,2020,2020,,26031
République Démocratique du Congo,ke Kasai Oriental Province,ke Nzaba Zone de Santé,ke Du Marché Aire de Santé,FrRTHmu0lc6,ke Du Marché Aire de Santé,81120303,,2020,2020,2020,,18549
République Démocratique du Congo,ke Kasai Oriental Province,ke Bonzola Zone de Santé,ke Dubai Aire de Santé,NzjPPdkcfr9,ke Dubai Aire de Santé,81110107,,2020,2020,2020,,23461
République Démocratique du Congo,ke Kasai Oriental Province,ke Lubilanji Zone de Santé,ke Ecoles Aire de Santé,KQvlydpkOvR,ke Ecoles Aire de Santé,81150209,,2020,2020,2020,,17414
République Démocratique du Congo,ke Kasai Oriental Province,ke Kansele Zone de Santé,ke Emerance Aire de Santé,MNiNAuMS8fC,ke Emerance Aire de Santé,81140206,,2020,2020,2020,,18793
République Démocratique du Congo,ke Kasai Oriental Province,ke Muya Zone de Santé,ke Fr Josephite Aire de Santé,htrCEJPskI0,ke Fr Josephite Aire de Santé,81140107,,2020,2020,2020,,22129
République Démocratique du Congo,ke Kasai Oriental Province,ke Lubilanji Zone de Santé,ke Glaceka Aire de Santé,XhM7AqOuhdM,ke Glaceka Aire de Santé,81150210,,2020,2020,2020,,22611
République Démocratique du Congo,ke Kasai Oriental Province,ke Lukelenge Zone de Santé,ke Grand Seminaire Aire de Santé,u159GK3S9fz,ke Grand Seminaire Aire de Santé,81150307,,2020,2020,2020,,16318
